CLIENTE,SUBCARPETA,NO. PARTE,CODIGO,NOMBRE,LIGA,RMS,,,
NISSAN,H60A,550206KH0C,PRODUCCION_OP-PREVIAS_H-55020-6KH0C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085131.852_PRODUCCION_OP-PREVIAS_H-55020-6KH0C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7994,VERDADERO,,,
NISSAN,H60A,550206KH0D,PRODUCCION_OP-PREVIAS_H-55020-6KH0D,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085425.666_PRODUCCION_OP-PREVIAS_H-55020-6KH0D_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7996,VERDADERO,,,
NISSAN,H60A,550206KH1C,PRODUCCION_OP-PREVIAS_H-55020-6KH1C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085708.698_PRODUCCION_OP-PREVIAS_H-55020-6KH1C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=7998,VERDADERO,,,
NISSAN,H60A,550206KH3C,PRODUCCION_OP-PREVIAS_H-55020-6KH3C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_085856.355_PRODUCCION_OP-PREVIAS_H-55020-6KH3C_(Mod._24_06_2025).PDF&pr02=application/pdf&pr03=8000,VERDADERO,,,
NISSAN,H60A,550206KH0C,OP-FINALES_H-55020-6KH0C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121148.017_OP-FINALES_H-55020-6KH0C.pdf&pr02=application/pdf&pr03=7525,VERDADERO,,,
NISSAN,H60A,550206KH0D,OP-FINALES_H-55020-6KH0D,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121242.486_OP-FINALES_H-55020-6KH0D.pdf&pr02=application/pdf&pr03=7526,VERDADERO,,,
NISSAN,H60A,550206KH1C,OP-FINALES_H-55020-6KH1C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121416.924_OP-FINALES_H-55020-6KH1C.pdf&pr02=application/pdf&pr03=7527,VERDADERO,,,
NISSAN,H60A,550206KH3C,OP-FINALES_H-55020-6KH3C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_121507.489_OP-FINALES_H-55020-6KH3C.pdf&pr02=application/pdf&pr03=7528,VERDADERO,,,
NISSAN,H60A,550205JJ0C,OP-PREVIAS_H-55020-5JJ0C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_101846.409_OP-PREVIAS_H-55020-5JJ0C.PDF&pr02=application/pdf&pr03=8508,VERDADERO,,,
NISSAN,H60A,550205JJ1C,OP-PREVIAS_H-55020-5JJ1C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_102152.112_OP-PREVIAS_H-55020-5JJ1C.PDF&pr02=application/pdf&pr03=8509,VERDADERO,,,
NISSAN,H60A,550205JJ2C,OP-PREVIAS_H-55020-5JJ2C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_102454.315_OP-PREVIAS_H-55020-5JJ2C.PDF&pr02=application/pdf&pr03=8510,VERDADERO,,,
NISSAN,H60A,550205JJ3C,OP-PREVIAS_H-55020-5JJ3C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_102744.784_OP-PREVIAS_H-55020-5JJ3C.PDF&pr02=application/pdf&pr03=8511,VERDADERO,,,
NISSAN,H60A,550205JJ4C,OP-PREVIAS_H-55020-5JJ4C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_103202.082_OP-PREVIAS_H-55020-5JJ4C.PDF&pr02=application/pdf&pr03=8512,VERDADERO,,,
NISSAN,H60A,550205JJ5C,OP-PREVIAS_H-55020-5JJ5C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_103345.489_OP-PREVIAS_H-55020-5JJ5C.PDF&pr02=application/pdf&pr03=8513,VERDADERO,,,
NISSAN,H60A,550205JJ6C,OP-PREVIAS_H-55020-5JJ6C,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_103557.896_OP-PREVIAS_H-55020-5JJ6C.PDF&pr02=application/pdf&pr03=8514,VERDADERO,,,
NISSAN,H60A,550205JJ0C,OP-FINALES_H-55020-5JJ0C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_104038.977_OP-FINALES_H-55020-5JJ0C.PDF&pr02=application/pdf&pr03=8515,VERDADERO,,,
NISSAN,H60A,550205JJ1C,OP-FINALES_H-55020-5JJ1C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_104252.104_OP-FINALES_H-55020-5JJ1C.PDF&pr02=application/pdf&pr03=8516,VERDADERO,,,
NISSAN,H60A,550205JJ2C,OP-FINALES_H-55020-5JJ2C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_104534.323_OP-FINALES_H-55020-5JJ2C.PDF&pr02=application/pdf&pr03=8517,VERDADERO,,,
NISSAN,H60A,550205JJ3C,OP-FINALES_H-55020-5JJ3C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_104742.745_OP-FINALES_H-55020-5JJ3C.PDF&pr02=application/pdf&pr03=8518,VERDADERO,,,
NISSAN,H60A,550205JJ4C,OP-FINALES_H-55020-5JJ4C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105004.058_OP-FINALES_H-55020-5JJ4C.PDF&pr02=application/pdf&pr03=8519,VERDADERO,,,
NISSAN,H60A,550205JJ5C,OP-FINALES_H-55020-5JJ5C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105226.840_OP-FINALES_H-55020-5JJ5C.PDF&pr02=application/pdf&pr03=8520,VERDADERO,,,
NISSAN,H60A,550205JJ6C,OP-FINALES_H-55020-5JJ6C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105433.497_OP-FINALES_H-55020-5JJ6C.PDF&pr02=application/pdf&pr03=8521,VERDADERO,,,
NISSAN,X11M (USA),550209SJ0A,PRODUCCION_OP-FINALES_H-55020-9SJ0A,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_111111.625_PRODUCCION_OP-FINALES_H-55020-9SJ0A.PDF&pr02=application/pdf&pr03=8522,VERDADERO,,,
NISSAN,X11M (USA),550209SJ0A,PRODUCCION_OP-PREVIAS_H-55020-9SJ0A,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_111532.752_PRODUCCION_OP-PREVIAS_H-55020-9SJ0A.PDF&pr02=application/pdf&pr03=8523,VERDADERO,,,
FORD,MOTOR HOME,4C345310AC,PRODUCCION_4C34-5310-AC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_111833.994_H-4C34-5310-AC.pdf&pr02=application/pdf&pr03=7550,VERDADERO,,,
FORD,MOTOR HOME,4C345310AD,PRODUCCION_4C34-5310-AD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112247.405_H-4C34-5310-AD.pdf&pr02=application/pdf&pr03=7552,VERDADERO,,,
FORD,MOTOR HOME,4C345310BD,PRODUCCION_4C34-5310-BD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112516.328_H-4C34-5310-BD.pdf&pr02=application/pdf&pr03=7554,VERDADERO,,,
FORD,MOTOR HOME,4C345560BB,PRODUCCION_4C34-5560-BB,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112859.566_H-4C34-5560-BB.pdf&pr02=application/pdf&pr03=7558,VERDADERO,,,
FORD,MOTOR HOME,4C345560DB,PRODUCCION_4C34-5560-DB,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_113153.335_H-4C34-5560-DB.pdf&pr02=application/pdf&pr03=7560,VERDADERO,,,
FORD,MOTOR HOME,4C345560DD,PRODUCCION_4C34-5560-DD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_113346.024_H-4C34-5560-DD.pdf&pr02=application/pdf&pr03=7562,VERDADERO,,,
FORD,MOTOR HOME,8U945310AC,PRODUCCION_8U94-5310-AC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=09252025_110130.872_H-8U94-5310-AC_(25-Septiembre-2025).pdf&pr02=application/pdf&pr03=8384,VERDADERO,,,
FORD,MOTOR HOME,8U945310BC,PRODUCCION_8U94-5310-BC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=10102025_100033.578_H-8U94-5310-BC_(07-octubre-2025).pdf&pr02=application/pdf&pr03=8403,VERDADERO,,,
FORD,MOTOR HOME,8U945560AE,PRODUCCION_8U94-5560-AE,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_114329.969_H-8U94-5560-AE.pdf&pr02=application/pdf&pr03=7569,VERDADERO,,,
FORD,MOTOR HOME,8U945560AF,PRODUCCION_8U94-5560-AF,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_114733.115_H-8U94-5560-AF.pdf&pr02=application/pdf&pr03=7572,VERDADERO,,,
FORD,MOTOR HOME,8U945560BE,PRODUCCION_8U94-5560-BE,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_114947.711_H-8U94-5560-BE.pdf&pr02=application/pdf&pr03=7574,VERDADERO,,,
FORD,MOTOR HOME,8U945560BF,PRODUCCION_8U94-5560-BF,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_115200.417_H-8U94-5560-BF.pdf&pr02=application/pdf&pr03=7576,VERDADERO,,,
FORD,MOTOR HOME,4C345310CD,PRODUCCION_4C34-5310-CD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_012808.633_H-4C34-5310-CD.pdf&pr02=application/pdf&pr03=7578,VERDADERO,,,
FORD,MOTOR HOME,4C345310DD,PRODUCCION_4C34-5310-DD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_013200.420_H-4C34-5310-DD.pdf&pr02=application/pdf&pr03=7580,VERDADERO,,,
FORD,MOTOR HOME,9U945560AC,PRODUCCION_9U94-5560-AC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_013422.735_H-9U94-5560-AC.pdf&pr02=application/pdf&pr03=7582,VERDADERO,,,
FORD,MOTOR HOME,9U945560BC,PRODUCCION_9U94-5560-BC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_013619.205_H-9U94-5560-BC.pdf&pr02=application/pdf&pr03=7585,VERDADERO,,,
FORD,MOTOR HOME,9U945560CC,PRODUCCION_9U94-5560-CC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_013854.553_H-9U94-5560-CC.pdf&pr02=application/pdf&pr03=7587,VERDADERO,,,
FORD,MOTOR HOME,BU945310AC,PRODUCCION_BU94-5310-AC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_014112.914_H-BU94-5310-AC.pdf&pr02=application/pdf&pr03=7589,VERDADERO,,,
FORD,MOTOR HOME,BU945310BC,PRODUCCION_BU94-5310-BC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_014427.417_H-BU94-5310-BC.pdf&pr02=application/pdf&pr03=7591,VERDADERO,,,
FORD,MOTOR HOME,BU945310CC,PRODUCCION_BU94-5310-CC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_014637.653_H-BU94-5310-CC.pdf&pr02=application/pdf&pr03=7593,VERDADERO,,,
FORD,MOTOR HOME,BU945310DC,PRODUCCION_BU94-5310-DC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_014859.765_H-BU94-5310-DC.pdf&pr02=application/pdf&pr03=7595,VERDADERO,,,
FORD,MOTOR HOME,BU945560AD,PRODUCCION_BU94-5560-AD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_015123.814_H-BU94-5560-AD.pdf&pr02=application/pdf&pr03=7597,VERDADERO,,,
FORD,MOTOR HOME,BU945560BC,PRODUCCION_BU94-5560-BC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_015345.223_H-BU94-5560-BC.pdf&pr02=application/pdf&pr03=7599,VERDADERO,,,
FORD,MOTOR HOME,EU945560EB,PRODUCCION_EU94-5560-EB,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_015633.679_H-EU94-5560-EB.pdf&pr02=application/pdf&pr03=7601,VERDADERO,,,
FORD,MH TUNING,LU945310CA,PRODUCCION_LU94-5310-CA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011046.517_PRODUCCION_H-LU94-5310-CA.pdf&pr02=application/pdf&pr03=7530,VERDADERO,,,
FORD,MH TUNING,LU945310DA,PRODUCCION_LU94-5310-DA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011224.676_PRODUCCION_H-LU94-5310-DA.pdf&pr02=application/pdf&pr03=7535,VERDADERO,,,
FORD,MH TUNING,LU945560DA,PRODUCCION_LU94-5560-DA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011345.240_PRODUCCION_H-LU94-5560-DA.pdf&pr02=application/pdf&pr03=7532,VERDADERO,,,
FORD,MH TUNING,LU945560HA,PRODUCCION_LU94-5560-HA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011446.303_PRODUCCION_H-LU94-5560-HA.pdf&pr02=application/pdf&pr03=7537,VERDADERO,,,
FORD,MH TUNING,LU945560JA,PRODUCCION_LU94-5560-JA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011722.681_PRODUCCION_H-LU94-5560-JA.pdf&pr02=application/pdf&pr03=7540,VERDADERO,,,
FORD,MH TUNING,LU945560LA,PRODUCCION_LU94-5560-LA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011855.371_PRODUCCION_H-LU94-5560-LA.pdf&pr02=application/pdf&pr03=7542,VERDADERO,,,
FORD,MH TUNING,LU945560MA,PRODUCCION_LU94-5560-MA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_011955.591_PRODUCCION_H-LU94-5560-MA.pdf&pr02=application/pdf&pr03=7544,VERDADERO,,,
FORD,MH TUNING,LU945560NA,PRODUCCION_LU94-5560-NA,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_012238.000_PRODUCCION_H-LU94-5560-NA.pdf&pr02=application/pdf&pr03=7547,VERDADERO,,,
FORD,ECONOLINE,8C245560BG,OP-PREVIAS_8C24-5560-BG,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_020107.481_PRODUCCION_OP-PREVIAS_H-8C24-5560-BG.PDF&pr02=application/pdf&pr03=7603,VERDADERO,,,
FORD,ECONOLINE,8C245560CC,OP-PREVIAS_8C24-5560-CC,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_020416.206_PRODUCCION_OP-PREVIAS_H-8C24-5560-CC.PDF&pr02=application/pdf&pr03=7605,VERDADERO,,,
FORD,ECONOLINE,8C245560VG,OP-PREVIAS_8C24-5560-VG,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_020729.476_PRODUCCION_OP-PREVIAS_H-8C24-5560-VG.pdf&pr02=application/pdf&pr03=7607,VERDADERO,,,
FORD,ECONOLINE,8C245560BH,PRODUCCION_OP-PREVIAS_H-8C24-5560-BH,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_094844.925_PRODUCCION_OP-PREVIAS_H-8C24-5560-BH.PDF&pr02=application/pdf&pr03=8001,VERDADERO,,,
FORD,ECONOLINE,8C245560CD,PRODUCCION_OP-PREVIAS_H-8C24-5560-CD,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_095058.816_PRODUCCION_OP-PREVIAS_H-8C24-5560-CD.PDF&pr02=application/pdf&pr03=8002,VERDADERO,,,
FORD,ECONOLINE,8C245560VH,PRODUCCION_OP-PREVIAS_H-8C24-5560-VH,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_095310.303_PRODUCCION_OP-PREVIAS_H-8C24-5560-VH.pdf&pr02=application/pdf&pr03=8003,VERDADERO,,,
FORD,ECONOLINE,8C245560BG,OP-FINALES_8C24-5560-BG,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05092025_091130.499_PRODUCCION__OP-FINALES_H-8C24-5560-BG.PDF&pr02=application/pdf&pr03=7609,VERDADERO,,,
FORD,ECONOLINE,8C245560CC,OP-FINALES_8C24-5560-CC,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05092025_091707.289_PRODUCCION__OP-FINALES_H-8C24-5560-CC.PDF&pr02=application/pdf&pr03=7611,VERDADERO,,,
FORD,ECONOLINE,8C245560VG,OP-FINALES_8C24-5560-VG,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05092025_091951.072_PRODUCCION__OP-FINALES_H-8C24-5560-VG.PDF&pr02=application/pdf&pr03=7613,VERDADERO,,,
FORD,ECONOLINE,8C245560BH,PRODUCCION_ OP-FINALES_H-8C24-5560-BH PROTOTIPO,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_095557.275_PRODUCCION__OP-FINALES_H-8C24-5560-BH_PROTOTIPO.pdf&pr02=application/pdf&pr03=8004,VERDADERO,,,
FORD,ECONOLINE,8C245560CD,PRODUCCION_ OP-FINALES_H-8C24-5560-CD PROTOTIPO,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_095934.792_PRODUCCION__OP-FINALES_H-8C24-5560-CD_PROTOTIPO.pdf&pr02=application/pdf&pr03=8005,VERDADERO,,,
FORD,ECONOLINE,8C245560VH,PRODUCCION_ OP-FINALES_H-8C24-5560-VH PROTOTIPO,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=06262025_100218.498_PRODUCCION__OP-FINALES_H-8C24-5560-VH_PROTOTIPO.pdf&pr02=application/pdf&pr03=8006,VERDADERO,,,
AUTOMANN,,551219A,H-55-1219-A OP. FINALES,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_103628.955_H-55-1219-A_OP._FINALES.pdf&pr02=application/pdf&pr03=8481,VERDADERO,,,
AUTOMANN,,551219A,H-55-1219-A OP. PREVIAS,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_111238.852_H-55-1219-A_OP._PREVIAS.pdf&pr02=application/pdf&pr03=8482,VERDADERO,,,
AUTOMANN,,59548A,H-59-548-A OP. FINALES,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_112317.120_H-59-548-A_OP._FINALES.pdf&pr02=application/pdf&pr03=8483,VERDADERO,,,
AUTOMANN,,59548A,H-59-548-A OP. PREVIAS,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_112548.761_H-59-548-A_OP._PREVIAS.pdf&pr02=application/pdf&pr03=8484,VERDADERO,,,
AUTOMANN,,461280A,H-46-1280-A OP. FINALES,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=09082025_111719.542_H-46-1280-A_OP._FINALES_04-09-25.pdf&pr02=application/pdf&pr03=8245,VERDADERO,,,
AUTOMANN,,461280A,H-46-1280-A OP. PREVIAS,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=09082025_112558.076_H-46-1280-A_OP._PREVIAS_03-09-25.pdf&pr02=application/pdf&pr03=8246,VERDADERO,,,
AUTOMANN,,461302A,H-46-1302-A OP. FINALES,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_112800.370_H-46-1302-A_OP._FINALES.pdf&pr02=application/pdf&pr03=8485,VERDADERO,,,
AUTOMANN,,461302A,H-46-1302-A OP. PREVIAS,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_113034.746_H-46-1302-A_OP._PREVIAS.pdf&pr02=application/pdf&pr03=8486,VERDADERO,,,
AUTOMANN,,461494A,H-46-1494-A OP. FINALES,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_113415.637_H-46-1494-A_OP._FINALES.pdf&pr02=application/pdf&pr03=8487,VERDADERO,,,
AUTOMANN,,461494A,H-46-1494-A OP. PREVIAS,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11052025_113638.857_H-46-1494-A_OP._PREVIAS.pdf&pr02=application/pdf&pr03=8488,VERDADERO,,,
